id,sku,item_name,item_category,brand,bottle_size_ml,unit_type,units_per_case,location_name,location_stock,location_cost_price,location_selling_price,location_mrp,global_cost_price,global_selling_price,global_mrp,global_stock,tax_rate,reorder_level,reorder_qty,cogs_account_code,income_account_code,inventory_account_code
11966424-be83-4fb5-b7e1-57992e60e22c,CU-001,Current chips,Other,,1000,Bottle,,House,0,38,50,45.6,38,0,45.6,0,0,2,9,5100,4100,1200
f92a8d34-f7a5-4349-94a5-f886ec590c39,DE-001,Dew 1 ltr,Soft Drinks,Dew,0,PCS,12,Gokarna,0,129.17,140,180,129.17,140,180,0,0,3,16,5100,4100,1200
f92a8d34-f7a5-4349-94a5-f886ec590c39,DE-001,Dew 1 ltr,Soft Drinks,Dew,0,PCS,12,House,0,129.17,205,180,129.17,140,180,0,0,3,16,5100,4100,1200
4bcc2264-5ffd-451c-b2f5-d82052704d40,DE-002,Dew 1.5 ltr,Soft Drinks,Dew,0,PCS,12,Gokarna,0,175,200,250,175,200,250,0,0,2,16,5100,4100,1200
4bcc2264-5ffd-451c-b2f5-d82052704d40,DE-002,Dew 1.5 ltr,Soft Drinks,Dew,0,PCS,12,House,0,175,290,250,175,200,250,0,0,2,16,5100,4100,1200
b1e6e633-3a08-42d9-8da2-fe6d7acdf463,DE-003,Dew 2.25 ltr,Soft Drinks,Dew,22500,PCS,12,Gokarna,0,240,270,270,240,270,270,0,0,2,9,5100,4100,1200
b1e6e633-3a08-42d9-8da2-fe6d7acdf463,DE-003,Dew 2.25 ltr,Soft Drinks,Dew,22500,PCS,12,House,0,240,310,270,240,270,270,0,0,2,9,5100,4100,1200
0c31b154-be18-4c14-a0c1-c88db30db2d1,DE-004,Dew 250 ml,Soft Drinks,Dew,250,PCS,12,Gokarna,0,45.83,50,60,45.83,50,60,0,0,5,24,5100,4100,1200
0c31b154-be18-4c14-a0c1-c88db30db2d1,DE-004,Dew 250 ml,Soft Drinks,Dew,250,PCS,12,House,0,45.83,70,60,45.83,50,60,0,0,5,24,5100,4100,1200
c98dbedd-9066-4662-8d06-bad8654cf438,DE-005,Dew 500 ml,Soft Drinks,Dew,0,PCS,12,Gokarna,0,81.25,90,120,81.25,90,120,0,0,5,24,5100,4100,1200
c98dbedd-9066-4662-8d06-bad8654cf438,DE-005,Dew 500 ml,Soft Drinks,Dew,0,PCS,12,House,0,81.25,140,120,81.25,90,120,0,0,5,24,5100,4100,1200
6b59f47f-75a8-4bd6-a4a8-5689dfcbafe1,DI-001,Divine,Wine,Divine,750,Bottle,12,Gokarna,7,650,750,750,650,750,750,7,0,10,0,5100,4100,1200
6b59f47f-75a8-4bd6-a4a8-5689dfcbafe1,DI-001,Divine,Wine,Divine,750,Bottle,12,House,0,650,860,750,650,750,750,7,0,10,0,5100,4100,1200
21ffbde0-c10c-4d8d-8286-c6c60410c547,DO-001,Dbl Black Label 1L,Whiskey,Double Black,1000,Bottle,,Gokarna,0,9246,11095.2,11095.2,9246,0,11095.2,0,0,2,9,5100,4100,1200
21ffbde0-c10c-4d8d-8286-c6c60410c547,DO-001,Dbl Black Label 1L,Whiskey,Double Black,1000,Bottle,,House,0,9246,12760,11095.2,9246,0,11095.2,0,0,2,9,5100,4100,1200
6495db84-108d-455f-841d-06fe0a239a12,FR-001,Frooti,Soft Drinks,,1000,Bottle,,Gokarna,0,17,20.4,20.4,17,0,20.4,0,0,2,9,5100,4100,1200
6495db84-108d-455f-841d-06fe0a239a12,FR-001,Frooti,Soft Drinks,,1000,Bottle,,House,0,17,25,20.4,17,0,20.4,0,0,2,9,5100,4100,1200
d552287e-c7e2-4b9f-83eb-223971845f00,GL-001,Glass,Other,,0,PCS,0,Gokarna,0,1.5,5,5,1.5,5,5,0,0,10,0,5100,4100,1200
d552287e-c7e2-4b9f-83eb-223971845f00,GL-001,Glass,Other,,0,PCS,0,House,0,1.5,5,5,1.5,5,5,0,0,10,0,5100,4100,1200
c9d5cd17-fb9a-47dc-a938-17e8fba12e9c,GO-001,Golden Oak Full,Whiskey,Golden Oak,750,Bottle,12,Gokarna,1,1100,1200,1200,1100,1200,1200,1,0,2,6,5100,4100,1200
c9d5cd17-fb9a-47dc-a938-17e8fba12e9c,GO-001,Golden Oak Full,Whiskey,Golden Oak,750,Bottle,12,House,0,1100,1380,1200,1100,1200,1200,1,0,2,6,5100,4100,1200
76fb4973-11fe-4476-8e02-3545531d4bf9,GO-002,Golden Oak Half,Whiskey,Golden Oak,375,Bottle,24,Gokarna,0,548,600,600,548,600,600,0,0,5,12,5100,4100,1200
76fb4973-11fe-4476-8e02-3545531d4bf9,GO-002,Golden Oak Half,Whiskey,Golden Oak,375,Bottle,24,House,0,548,690,600,548,600,600,0,0,5,12,5100,4100,1200
5e21fcfb-5077-4a22-97f3-574bda1923f6,GO-003,Golden Oak Qtr,Whiskey,Golden Oak,180,Bottle,48,Gokarna,21,275,300,300,275,300,300,21,0,10,48,5100,4100,1200
5e21fcfb-5077-4a22-97f3-574bda1923f6,GO-003,Golden Oak Qtr,Whiskey,Golden Oak,180,Bottle,48,House,0,275,345,300,275,300,300,21,0,10,48,5100,4100,1200
d16048f0-158c-40ee-9f4f-e52a209d7ee2,GO-004,Gorkha 330,Beer,Gorkha,330,Bottle,24,Gokarna,0,166.67,200,200,166.67,200,200,0,0,24,240,5100,4100,1200
d16048f0-158c-40ee-9f4f-e52a209d7ee2,GO-004,Gorkha 330,Beer,Gorkha,330,Bottle,24,House,0,166.67,230,200,166.67,200,200,0,0,24,240,5100,4100,1200
dd1ac436-ebca-4fa2-9407-44f158256b13,GO-005,Gorkha 650,Beer,Gorkha,650,Bottle,12,Gokarna,15,331.25,365,365,331.25,365,365,51,0,24,300,5100,4100,1200
dd1ac436-ebca-4fa2-9407-44f158256b13,GO-005,Gorkha 650,Beer,Gorkha,650,Bottle,12,House,36,331.25,420,365,331.25,365,365,51,0,24,300,5100,4100,1200
17d37cfe-9fd1-4dca-bc6d-af63fa236373,GO-006,Gorkha can,Beer,Gorkha,500,Bottle,12,Gokarna,35,245.83,275,275,245.83,275,275,35,0,12,60,5100,4100,1200
17d37cfe-9fd1-4dca-bc6d-af63fa236373,GO-006,Gorkha can,Beer,Gorkha,500,Bottle,12,House,0,245.83,315,275,245.83,275,275,35,0,12,60,5100,4100,1200
c0fd81ec-d2b1-4123-bfc2-13b0fc6ab663,GU-001,G & G Full,Whiskey,Gurkhas And Guns,750,Bottle,12,Gokarna,0,2625,2800,2800,2625,2800,2800,0,0,5,3,5100,4100,1200
c0fd81ec-d2b1-4123-bfc2-13b0fc6ab663,GU-001,G & G Full,Whiskey,Gurkhas And Guns,750,Bottle,12,House,0,2625,3220,2800,2625,2800,2800,0,0,5,3,5100,4100,1200
398e3b21-7b6d-42d6-93a7-3bde51197f8b,HA-001,Handyplast,Other,,0,PCS,12,Gokarna,0,4,5,5,4,5,5,0,0,10,0,5100,4100,1200
398e3b21-7b6d-42d6-93a7-3bde51197f8b,HA-001,Handyplast,Other,,0,PCS,12,House,0,4,5,5,4,5,5,0,0,10,0,5100,4100,1200
2f50885c-3771-49c0-b760-0a19c8f264d1,HA-002,Happydent,Other,,0,PCS,0,Gokarna,404,2.14,2.5,2.5,2.14,2.5,2.5,404,0,10,0,5100,4100,1200
2f50885c-3771-49c0-b760-0a19c8f264d1,HA-002,Happydent,Other,,0,PCS,0,House,0,2.14,5,2.5,2.14,2.5,2.5,404,0,10,0,5100,4100,1200
